"","taxon","lfc_(Intercept)","lfc_statusRef","se_(Intercept)","se_statusRef","W_(Intercept)","W_statusRef","p_(Intercept)","p_statusRef","q_(Intercept)","q_statusRef","diff_(Intercept)","diff_statusRef","passed_ss_(Intercept)","passed_ss_statusRef"
"25","ASV11028",-0.0452351585240683,0.500181782325207,0.0976562512921672,0.141962372767255,-0.463208017157387,3.52334053436291,0.643807718668852,0.000547466382755159,1,0.0875946212408254,FALSE,FALSE,TRUE,TRUE
"26","ASV11052",0.513680383237467,-0.996611963342412,0.094353210209794,0.114728958562864,5.44422793983692,-8.68666442915837,7.48684794330601e-07,1.11102886863363e-12,0.000160967230781079,2.97755736793813e-10,TRUE,TRUE,TRUE,FALSE
"27","ASV11102",0.528036589821733,-0.434666948640393,0.0786964280907309,0.0934851805919773,6.70979106209176,-4.64958131211756,1.68241560544222e-09,1.13498018627072e-05,4.13874238938785e-07,0.00228131017440416,TRUE,TRUE,TRUE,FALSE
"28","ASV1122",0.0273259266421915,0.245222672367634,0.104890055325767,0.129098678726407,0.260519708539792,1.89949792505099,0.794759060317211,0.0590893474434442,1,1,FALSE,FALSE,FALSE,TRUE
"29","ASV11239",0.772968817794071,-0.0968198027415342,0.0925866834886795,0.11513099768999,8.34859602556756,-0.840953389479332,1.13187672159252e-14,0.401378346375558,3.05606714829981e-12,1,TRUE,FALSE,FALSE,TRUE
"30","ASV1129",-0.171002056540807,0.0766210643624563,0.0802093887991413,0.103882742731298,-2.13194563754908,0.737572597218035,0.0349999971126559,0.462178966309485,1,1,FALSE,FALSE,TRUE,TRUE
"31","ASV11294",-0.397482509999178,1.07352470197398,0.080466442430064,0.103182420272478,-4.93973012842768,10.4041434494275,8.81452224275926e-06,3.28360251360755e-14,0.00171883183733806,8.96423486214861e-12,TRUE,TRUE,TRUE,FALSE
"32","ASV11339",-0.220456869908919,0.301395876487786,0.0699660483344928,0.101812504525736,-3.15091212319098,2.96030313655234,0.00223984835194458,0.00397083469560699,0.338217101143631,0.5678293614718,FALSE,FALSE,TRUE,FALSE
"33","ASV11476",0.471573300142591,-0.234981411039269,0.132377696778841,0.168694843816922,3.56233196087732,-1.39293771950899,0.000420529003565929,0.164556811515335,0.0702283435955102,1,FALSE,FALSE,TRUE,TRUE
"34","ASV1149",-0.278632980617174,0.141405128895453,0.0844491504826891,0.102483131722525,-3.29941721171357,1.37978930306608,0.00129326569151571,0.170351785181807,0.200773450743498,1,FALSE,FALSE,TRUE,TRUE
"35","ASV11496",0.249567717931282,0.178221104697511,0.132376440997718,0.16033669060098,1.88528801688803,1.1115428666358,0.060437491436669,0.267298577632667,1,1,FALSE,FALSE,FALSE,TRUE
"36","ASV11568",0.203842837393053,-0.0997202460828748,0.0931629990414104,0.113457033449271,2.18802356612035,-0.878925202353913,0.0311468069476537,0.381683087297143,1,1,FALSE,FALSE,TRUE,TRUE
